timestamp,speaker
"(0.03096875, 2.8997187500000003)",SPEAKER_01
"(3.27096875, 11.10096875)",SPEAKER_01
"(13.56471875, 14.62784375)",SPEAKER_01
"(18.01971875, 22.660343750000003)",SPEAKER_01
"(23.031593750000003, 24.870968750000003)",SPEAKER_01
"(25.32659375, 26.676593750000002)",SPEAKER_01
"(28.144718750000003, 32.66721875)",SPEAKER_01
"(33.173468750000005, 55.81971875)",SPEAKER_01
"(58.367843750000006, 63.46409375)",SPEAKER_01
"(63.97034375000001, 64.79721875)",SPEAKER_01
"(64.96596875, 75.02346875)",SPEAKER_01
"(75.74909375, 88.74284375)",SPEAKER_01
"(86.11034375, 86.93721875)",SPEAKER_00
"(93.33284375000001, 94.81784375000001)",SPEAKER_01
"(94.83471875000001, 100.70721875000001)",SPEAKER_01
"(100.97721875, 101.85471875)",SPEAKER_06
"(101.97284375000001, 106.47846875)",SPEAKER_06
"(105.93846875000001, 118.94909375)",SPEAKER_01
"(119.13471875, 121.46346875)",SPEAKER_01
"(121.75034375000001, 125.68221875)",SPEAKER_01
"(126.28971875, 127.79159375)",SPEAKER_01
"(128.88846875000002, 129.68159375000002)",SPEAKER_01
"(129.36096875, 131.79096875000002)",SPEAKER_09
"(131.79096875000002, 133.61346875)",SPEAKER_01
"(131.80784375000002, 132.65159375000002)",SPEAKER_09
"(132.82034375, 133.91721875000002)",SPEAKER_09
"(133.91721875000002, 140.09346875)",SPEAKER_01
"(140.19471875000002, 159.02721875)",SPEAKER_01
"(159.31409375, 161.76096875000002)",SPEAKER_01
"(162.45284375, 174.88971875000001)",SPEAKER_06
"(173.28659375, 189.52034375000002)",SPEAKER_01
"(190.07721875000001, 196.77659375000002)",SPEAKER_01
"(196.82721875000001, 206.49659375000002)",SPEAKER_01
"(206.85096875000002, 216.21659375000002)",SPEAKER_01
"(218.32596875000002, 221.98784375000002)",SPEAKER_01
"(222.86534375000002, 228.19784375)",SPEAKER_01
"(228.82221875000002, 229.86846875)",SPEAKER_01
"(230.81346875000003, 233.98596875)",SPEAKER_01
"(234.69471875000002, 237.96846875000003)",SPEAKER_01
"(239.41971875000002, 241.02284375000002)",SPEAKER_01
"(241.68096875, 246.74346875)",SPEAKER_01
"(247.43534375000002, 248.76846875)",SPEAKER_01
"(249.40971875000002, 250.20284375000003)",SPEAKER_01
"(250.59096875, 270.84096875)",SPEAKER_01
"(271.14471875000004, 275.59971875)",SPEAKER_01
"(276.74721875, 289.43721875)",SPEAKER_01
"(280.25721875, 281.06721875)",SPEAKER_04
"(289.74096875000004, 295.32659375000003)",SPEAKER_01
"(295.76534375, 297.16596875000005)",SPEAKER_01
"(298.04346875000005, 305.62034375)",SPEAKER_01
"(303.81471875, 304.57409375000003)",SPEAKER_02
"(306.46409375, 323.11971875)",SPEAKER_01
"(323.60909375, 326.62971875)",SPEAKER_01
"(327.10221875, 328.33409375)",SPEAKER_01
"(328.50284375, 339.69096875)",SPEAKER_01
"(339.92721875, 343.77471875000003)",SPEAKER_01
"(343.77471875000003, 362.53971875)",SPEAKER_06
"(360.58221875000004, 363.29909375)",SPEAKER_01
"(363.51846875, 371.50034375)",SPEAKER_06
"(370.30221875, 380.44409375000004)",SPEAKER_01
"(381.20346875, 381.96284375000005)",SPEAKER_01
"(382.63784375, 383.59971875)",SPEAKER_01
"(384.20721875000004, 387.07596875)",SPEAKER_06
"(386.11409375000005, 389.55659375000005)",SPEAKER_01
"(390.02909375, 396.18846875)",SPEAKER_01
"(391.41284375000004, 392.98221875)",SPEAKER_06
"(397.09971875, 405.80721875)",SPEAKER_01
"(406.29659375, 411.49409375000005)",SPEAKER_01
"(412.62471875, 414.46409375)",SPEAKER_01
"(414.81846875, 417.04596875000004)",SPEAKER_01
"(417.33284375000005, 419.71221875000003)",SPEAKER_01
"(420.10034375000004, 424.55534375)",SPEAKER_01
"(424.99409375000005, 427.82909375)",SPEAKER_01
"(427.89659375, 429.16221875)",SPEAKER_01
"(430.19159375000004, 435.59159375)",SPEAKER_01
"(436.08096875, 440.62034375)",SPEAKER_01
"(441.68346875000003, 444.56909375000004)",SPEAKER_01
"(445.31159375000004, 448.93971875000005)",SPEAKER_01
"(451.52159375, 452.70284375000006)",SPEAKER_01
"(453.22596875000005, 455.74034375)",SPEAKER_01
"(456.06096875000003, 457.00596875)",SPEAKER_01
"(457.20846875, 479.46659375)",SPEAKER_01
"(461.81534375, 463.62096875000003)",SPEAKER_04
"(479.83784375000005, 481.06971875000005)",SPEAKER_01
"(481.89659375, 489.43971875000005)",SPEAKER_01
"(489.77721875000003, 494.29971875)",SPEAKER_01
"(494.68784375, 496.83096875)",SPEAKER_01
"(497.40471875000003, 499.21034375000005)",SPEAKER_01
"(499.95284375000006, 502.85534375000003)",SPEAKER_01
"(503.69909375000003, 505.99409375000005)",SPEAKER_01
"(505.43721875000006, 506.21346875000006)",SPEAKER_04
"(507.00659375000004, 509.53784375000004)",SPEAKER_01
"(509.84159375, 519.46034375)",SPEAKER_01
"(511.02284375000005, 512.27159375)",SPEAKER_04
"(517.78971875, 522.39659375)",SPEAKER_04
"(521.41784375, 524.8772187500001)",SPEAKER_01
"(524.9109687499999, 529.75409375)",SPEAKER_01
"(529.8215937500001, 536.5547187500001)",SPEAKER_01
"(537.17909375, 545.9878437500001)",SPEAKER_01
"(546.2409687500001, 556.8047187500001)",SPEAKER_01
"(557.1084687499999, 558.52596875)",SPEAKER_01
"(557.9522187499999, 560.28096875)",SPEAKER_04
"(559.7578437500001, 563.3015937499999)",SPEAKER_01
"(564.92159375, 565.71471875)",SPEAKER_04
"(565.9678437499999, 570.0347187500001)",SPEAKER_01
"(567.26721875, 568.0265937500001)",SPEAKER_04
"(576.0759687500001, 579.5690937500001)",SPEAKER_01
"(579.7378437500001, 590.21721875)",SPEAKER_01
"(591.06096875, 593.01846875)",SPEAKER_01
"(593.59221875, 595.4822187500001)",SPEAKER_01
"(596.24159375, 597.0347187500001)",SPEAKER_01
"(597.4565937500001, 599.78534375)",SPEAKER_04
"(599.78534375, 606.26534375)",SPEAKER_01
"(642.39471875, 643.18784375)",SPEAKER_04
"(647.98034375, 648.87471875)",SPEAKER_04
"(649.29659375, 650.96721875)",SPEAKER_04
"(651.0347187500001, 653.1272187500001)",SPEAKER_04
"(673.9678437500002, 677.8490937500001)",SPEAKER_01
"(682.9622187500001, 685.0378437500001)",SPEAKER_01
"(702.97596875, 704.95034375)",SPEAKER_01
"(709.9622187500001, 713.1515937500001)",SPEAKER_01
"(713.55659375, 714.67034375)",SPEAKER_01
"(715.5478437500001, 717.3703437500001)",SPEAKER_01
"(717.64034375, 719.02409375)",SPEAKER_01
"(731.96721875, 732.91221875)",SPEAKER_04
"(733.2834687500001, 735.8484687499999)",SPEAKER_04
"(736.57409375, 737.28284375)",SPEAKER_04
"(739.24034375, 740.4722187500001)",SPEAKER_04
"(743.32409375, 747.01971875)",SPEAKER_04
"(749.1459687500001, 753.76971875)",SPEAKER_04
"(756.7397187500001, 759.0347187500001)",SPEAKER_06
"(758.08971875, 758.96721875)",SPEAKER_04
"(758.96721875, 762.71346875)",SPEAKER_01
"(759.0347187500001, 762.29159375)",SPEAKER_04
"(763.05096875, 766.0378437500001)",SPEAKER_01
"(772.56846875, 774.7622187500001)",SPEAKER_01
"(784.1615937500001, 785.4609687500001)",SPEAKER_04
"(795.6028437500001, 797.5265937500001)",SPEAKER_01
"(799.02846875, 816.62909375)",SPEAKER_01
"(816.62909375, 818.2322187500001)",SPEAKER_04
"(819.0590937500001, 820.6453437500002)",SPEAKER_06
"(832.6940937500001, 834.48284375)",SPEAKER_01
"(840.0009687500001, 840.8784687500001)",SPEAKER_05
"(842.73471875, 846.98721875)",SPEAKER_05
"(847.0209687500001, 848.38784375)",SPEAKER_05
"(849.80534375, 850.9697187500001)",SPEAKER_05
"(850.9697187500001, 852.6740937500001)",SPEAKER_06
"(851.1047187500001, 852.7078437500002)",SPEAKER_05
"(852.7078437500002, 855.9140937500001)",SPEAKER_06
"(858.07409375, 864.5034687500001)",SPEAKER_06
"(867.65909375, 868.5703437500001)",SPEAKER_02
"(871.75971875, 876.1809687500001)",SPEAKER_01
"(877.76721875, 880.56846875)",SPEAKER_01
"(891.7565937500001, 894.4734687500002)",SPEAKER_01
"(895.09784375, 897.9665937500001)",SPEAKER_01
"(899.5190937500001, 915.16221875)",SPEAKER_01
"(920.95034375, 923.32971875)",SPEAKER_01
"(925.9453437500001, 930.0290937500001)",SPEAKER_01
"(930.3328437500002, 931.36221875)",SPEAKER_01
"(931.91909375, 935.14221875)",SPEAKER_01
"(935.7834687500001, 937.8759687500001)",SPEAKER_01
"(939.39471875, 944.4909687500001)",SPEAKER_01
"(949.33409375, 951.1059687500001)",SPEAKER_01
"(958.5478437500001, 961.0959687500001)",SPEAKER_04
"(961.70346875, 963.0365937500001)",SPEAKER_04
"(963.12096875, 963.84659375)",SPEAKER_04
"(964.15034375, 965.0109687500001)",SPEAKER_04
"(974.27534375, 978.3928437500001)",SPEAKER_04
"(982.1897187500001, 984.4172187500001)",SPEAKER_06
"(988.58534375, 992.0278437500001)",SPEAKER_04
"(992.92221875, 1000.7859687500002)",SPEAKER_01
"(1002.10221875, 1007.5022187500001)",SPEAKER_01
"(1009.2065937500001, 1015.06221875)",SPEAKER_01
"(1025.18721875, 1026.01409375)",SPEAKER_01
"(1028.0559687500001, 1031.9034687500002)",SPEAKER_01
"(1032.2747187500001, 1033.9790937500002)",SPEAKER_01
"(1039.69971875, 1041.10034375)",SPEAKER_04
"(1043.8340937500002, 1045.3865937500002)",SPEAKER_01
"(1048.9134687500002, 1052.9803437500002)",SPEAKER_01
"(1090.99971875, 1092.6365937500002)",SPEAKER_04
"(1095.7247187500002, 1098.74534375)",SPEAKER_04
"(1100.5003437500002, 1101.6478437500002)",SPEAKER_01
"(1101.96846875, 1104.24659375)",SPEAKER_04
"(1105.4278437500002, 1106.30534375)",SPEAKER_04
"(1106.9465937500001, 1110.2034687500002)",SPEAKER_01
"(1111.9078437500002, 1112.8697187500002)",SPEAKER_01
"(1113.7134687500002, 1114.50659375)",SPEAKER_04
"(1116.4978437500001, 1122.50534375)",SPEAKER_04
"(1122.50534375, 1123.36596875)",SPEAKER_01
"(1123.6865937500002, 1126.42034375)",SPEAKER_01
"(1126.89284375, 1127.6015937500001)",SPEAKER_01
"(1128.54659375, 1129.9134687500002)",SPEAKER_01
"(1130.0315937500002, 1131.1284687500001)",SPEAKER_04
"(1135.85346875, 1136.86596875)",SPEAKER_04
"(1137.4734687500002, 1140.37596875)",SPEAKER_04
"(1151.4122187500002, 1156.93034375)",SPEAKER_04
"(1160.4234687500002, 1162.02659375)",SPEAKER_04
"(1162.9378437500002, 1165.0303437500002)",SPEAKER_01
"(1165.28346875, 1166.38034375)",SPEAKER_04
"(1168.5234687500001, 1173.1809687500001)",SPEAKER_01
