timestamp
"(2077.44471875, 2090.7422187500006)"
"(2091.01221875, 2093.34096875)"
"(2094.4209687500006, 2099.9559687500005)"
"(2101.62659375, 2105.54159375)"
"(2106.43596875, 2117.3034687500003)"
"(2117.89409375, 2179.9772187500002)"
"(2181.34409375, 2188.75221875)"
"(2191.5028437500005, 2208.3778437500005)"
"(2209.4578437500004, 2218.8572187500004)"
"(2219.14409375, 2228.72909375)"
"(2230.45034375, 2242.3640937500004)"
"(2243.2078437500004, 2247.4772187500002)"
"(2248.3884687500004, 2260.82534375)"
"(2262.34409375, 2270.54534375)"
"(2272.51971875, 2279.3203437500006)"
"(2279.52284375, 2283.13409375)"
"(2284.1297187500004, 2295.5878437500005)"
"(2296.02659375, 2296.27971875)"
"(2304.97034375, 2307.0965937500005)"
"(2308.58159375, 2311.9734687500004)"
"(2318.52096875, 2321.4403437500005)"
"(2323.0603437500004, 2330.51909375)"
"(2331.12659375, 2331.90284375)"
"(2339.8847187500005, 2363.9822187500004)"
"(2365.6697187500004, 2369.0615937500006)"
"(2370.09096875, 2373.71909375)"
"(2377.9715937500005, 2379.8278437500003)"
"(2380.3847187500005, 2383.0340937500005)"
"(2383.47284375, 2386.2403437500006)"
"(2387.1178437500002, 2392.88909375)"
"(2393.0915937500004, 2396.07846875)"
"(2401.7653437500003, 2404.75221875)"
"(2404.87034375, 2406.01784375)"
"(2406.27096875, 2407.6209687500004)"
"(2407.9753437500003, 2412.0084687500002)"
"(2412.90284375, 2441.99534375)"
"(2442.2147187500004, 2451.5634687500005)"
"(2451.9684687500003, 2467.42596875)"
"(2469.61971875, 2473.4840937500003)"
"(2474.00721875, 2479.8122187500003)"
"(2480.14971875, 2481.3815937500003)"
"(2481.8203437500006, 2484.73971875)"
"(2488.4353437500004, 2488.8572187500004)"
"(2488.9753437500003, 2489.1103437500005)"
"(2489.75159375, 2490.9159687500005)"
"(2502.62721875, 2503.79159375)"
"(2504.8378437500005, 2508.2803437500006)"
"(2513.2078437500004, 2520.8522187500002)"
"(2521.2740937500002, 2522.69159375)"
"(2524.63221875, 2524.80096875)"
"(2525.05409375, 2538.1659687500005)"
"(2538.48659375, 2539.76909375)"
"(2539.87034375, 2540.3428437500006)"
"(2540.8828437500006, 2541.92909375)"
"(2544.1228437500004, 2545.35471875)"
"(2550.18096875, 2552.83034375)"
"(2553.91034375, 2554.5684687500006)"
"(2555.36159375, 2564.42346875)"
"(2564.7272187500002, 2568.08534375)"
"(2570.4140937500006, 2573.1309687500006)"
"(2577.18096875, 2584.9940937500005)"
"(2586.04034375, 2586.8503437500003)"
"(2588.1159687500003, 2590.25909375)"
"(2590.63034375, 2607.85971875)"
"(2608.28159375, 2619.8915937500005)"
"(2620.2459687500004, 2621.42721875)"
"(2621.66346875, 2630.15159375)"
"(2631.0965937500005, 2632.63221875)"
"(2632.75034375, 2632.9528437500003)"
"(2633.5772187500006, 2636.5134687500004)"
"(2637.3065937500005, 2637.7284687500005)"
"(2638.0828437500004, 2638.6903437500005)"
"(2639.3653437500006, 2639.80409375)"
"(2640.36096875, 2641.60971875)"
"(2641.9978437500004, 2643.4490937500004)"
"(2644.2253437500003, 2652.2409687500003)"
"(2653.1690937500007, 2662.4334687500004)"
"(2662.70346875, 2663.59784375)"
"(2666.0447187500004, 2667.0740937500004)"
"(2668.01909375, 2668.84596875)"
"(2670.17909375, 2670.6347187500005)"
"(2671.4109687500004, 2671.74846875)"
"(2675.83221875, 2690.85096875)"
"(2694.7997187500005, 2696.6728437500005)"
"(2697.2634687500004, 2700.67221875)"
"(2701.02659375, 2702.73096875)"
"(2703.1865937500006, 2743.21409375)"
"(2743.7372187500005, 2744.5134687500004)"
"(2744.6990937500004, 2745.5934687500003)"
"(2745.7115937500002, 2758.30034375)"
"(2759.26221875, 2759.44784375)"
"(2764.0378437500003, 2764.20659375)"
"(2764.49346875, 2768.8640937500004)"
"(2769.69096875, 2813.36346875)"
"(2815.37159375, 2827.5722187500005)"
"(2827.96034375, 2839.53659375)"
"(2839.65471875, 2842.0340937500005)"
"(2842.47284375, 2845.3584687500006)"
"(2846.2022187500006, 2861.8622187500005)"
"(2862.3347187500003, 2872.6453437500004)"
"(2875.76721875, 2878.11284375)"
"(2878.4503437500007, 2879.91846875)"
"(2880.8465937500005, 2909.51721875)"
"(2910.41159375, 2922.03846875)"
"(2922.64596875, 2924.31659375)"
"(2924.7722187500003, 2962.1334687500002)"
"(2963.51721875, 2964.6647187500002)"
"(2964.7997187500005, 2980.44284375)"
"(2981.3203437500006, 2981.5565937500005)"
"(2982.3497187500006, 2986.77096875)"
"(2987.19284375, 2987.4628437500005)"
"(2989.2684687500005, 2992.8797187500004)"
"(2993.08221875, 3003.57846875)"
"(3008.1853437500004, 3052.63409375)"
"(3054.55784375, 3055.58721875)"
"(3056.1103437500005, 3084.1228437500004)"
"(3084.76409375, 3164.56596875)"
"(3165.3084687500004, 3167.38409375)"
"(3167.75534375, 3170.6747187500005)"
"(3171.19784375, 3212.2547187500004)"
"(3212.4909687500003, 3236.52096875)"
"(3236.7234687500004, 3290.9090937500005)"
"(3291.1959687500002, 3305.9784687500005)"
"(3306.73784375, 3327.10596875)"
"(3327.3084687500004, 3343.2722187500003)"
"(3343.5084687500002, 3367.47096875)"
"(3367.72409375, 3368.2472187500007)"
"(3368.7197187500005, 3370.44096875)"
"(3370.79534375, 3381.9159687500005)"
"(3382.86096875, 3384.83534375)"
"(3385.25721875, 3390.01596875)"
"(3390.62346875, 3409.79346875)"
"(3409.91159375, 3469.1765937500004)"
"(3469.5478437500005, 3476.4159687500005)"
"(3501.93096875, 3503.87159375)"
"(3511.34721875, 3511.6678437500004)"
"(3512.12346875, 3512.3428437500006)"
"(3513.4059687500003, 3514.9753437500003)"
"(3515.92034375, 3516.57846875)"
"(3516.7978437500005, 3517.1690937500007)"
"(3521.03346875, 3521.77596875)"
"(3528.0197187500007, 3531.4453437500006)"
"(3532.00221875, 3536.9297187500006)"
"(3537.06471875, 3540.2878437500003)"
"(3540.7097187500003, 3541.2159687500007)"
"(3545.1140937500004, 3553.3153437500005)"
"(3558.0909687500007, 3560.0653437500005)"
"(3561.0440937500007, 3562.32659375)"
"(3568.9247187500005, 3572.7384687500007)"
"(3572.9072187500005, 3577.2272187500002)"
"(3577.7840937500005, 3579.38721875)"
"(3581.31096875, 3590.59221875)"
"(3591.67221875, 3608.6315937500003)"
"(3609.1884687500005, 3617.77784375)"
"(3619.7353437500005, 3620.91659375)"
"(3621.33846875, 3622.04721875)"
"(3622.9753437500003, 3645.0478437500005)"
"(3645.68909375, 3652.30409375)"
"(3654.8015937500004, 3657.55221875)"
"(3657.9572187500007, 3665.56784375)"
"(3666.4284687500003, 3697.15784375)"
"(3697.6640937500006, 3719.02784375)"
"(3719.85471875, 3720.8503437500003)"
"(3721.0528437500006, 3730.6884687500005)"
"(3730.89096875, 3733.01721875)"
"(3733.43909375, 3816.05909375)"
"(3816.36284375, 3819.55221875)"
"(3820.81784375, 3835.4147187500002)"
"(3835.6678437500004, 3848.8640937500004)"
"(3849.5897187500004, 3898.5272187500004)"
"(3898.91534375, 3900.43409375)"
"(3902.29034375, 3903.7753437500005)"
"(3904.9903437500006, 3905.66534375)"
"(3906.81284375, 3916.39784375)"
"(3917.61284375, 3918.03471875)"
"(3918.6590937500005, 3922.2703437500004)"
"(3922.5740937500004, 3934.11659375)"
"(3934.5890937500008, 3935.8209687500002)"
"(3936.1922187500004, 3940.4278437500006)"
"(3940.56284375, 3956.1384687500004)"
"(3956.40846875, 4173.57284375)"
"(4173.72471875, 4213.769093749999)"
"(4215.05159375, 4272.224093750001)"
"(4272.6122187500005, 4305.079718749999)"
"(4305.48471875, 4312.97721875)"
"(4313.63534375, 4313.82096875)"
"(4314.02346875, 4314.276593750001)"
"(4314.52971875, 4353.747218750001)"
"(4353.94971875, 4354.69221875)"
"(4354.84409375, 4393.57221875)"
"(4394.196593750001, 4467.29909375)"
"(4467.48471875, 4476.63096875)"
"(4476.86721875, 4481.102843750001)"
"(4481.92971875, 4536.975968750001)"
"(4537.41471875, 4559.40284375)"
"(4561.51221875, 4567.114718750001)"
"(4567.637843750001, 4596.089093750001)"
"(4596.7978437500005, 4632.96096875)"
"(4633.720343749999, 4680.44721875)"
"(4681.358468750001, 4686.184718750001)"
"(4686.6572187500005, 4690.116593750001)"
"(4691.753468749999, 4693.120343750001)"
"(4693.37346875, 4695.685343749999)"
"(4700.1572187500005, 4705.5740937499995)"
"(4705.8778437500005, 4706.704718749999)"
"(4707.95346875, 4710.75471875)"
"(4710.99096875, 4714.0115937499995)"
"(4714.56846875, 4724.946593750001)"
"(4726.7353437500005, 4729.04721875)"
"(4729.18221875, 4752.43596875)"
"(4752.8240937499995, 4790.8603437500005)"
"(4791.33284375, 4792.210343750001)"
"(4792.4803437499995, 4867.5740937499995)"
"(4868.16471875, 4874.67846875)"
"(4877.850968750001, 4880.60159375)"
"(4881.24284375, 4887.80721875)"
"(4888.110968749999, 4890.8447187500005)"
"(4891.31721875, 4891.671593749999)"
"(4893.62909375, 4899.43409375)"
"(4899.839093750001, 4951.679093750001)"
"(4951.8309687500005, 5024.612843750001)"
"(5025.642218749999, 5044.42409375)"
"(5045.436593750001, 5047.61346875)"
"(5048.2040937500005, 5081.481593750001)"
"(5081.92034375, 5117.374718749999)"
"(5117.91471875, 5118.640343749999)"
"(5118.94409375, 5121.829718749999)"
"(5122.015343749999, 5123.382218750001)"
"(5124.02346875, 5128.00596875)"
"(5128.545968750001, 5138.333468750001)"
"(5138.569718750001, 5318.237843750001)"
"(5321.190968750001, 5322.70971875)"
"(5326.28721875, 5498.49659375)"
"(5498.64846875, 5501.145968750001)"
"(5501.280968749999, 5502.9178437499995)"
"(5503.79534375, 5509.499093750001)"
"(5511.7772187499995, 5517.700343750001)"
"(5518.257218750001, 5523.52221875)"
"(5531.82471875, 5534.423468749999)"
"(5534.91284375, 5536.499093750001)"
"(5540.430968750001, 5544.6834687499995)"
"(5545.18971875, 5546.48909375)"
"(5546.7928437499995, 5550.57284375)"
"(5551.41659375, 5553.07034375)"
"(5553.81284375, 5556.19221875)"
"(5560.51221875, 5593.0809687500005)"
"(5593.2665937500005, 5691.647843750001)"
"(5692.05284375, 5764.42971875)"
"(5764.919093750001, 5776.157843749999)"
"(5779.27971875, 5824.167218750001)"
"(5824.487843750001, 5837.65034375)"
"(5841.71721875, 5843.16846875)"
"(5843.55659375, 5974.827218750001)"
"(5975.16471875, 5993.423468750001)"
"(5993.659718750001, 5994.4697187500005)"
"(5995.026593750001, 5997.270968750001)"
"(5997.81096875, 5999.54909375)"
"(6000.510968750001, 6019.967843750001)"
"(6020.153468750001, 6021.689093750001)"
"(6022.80284375, 6030.34596875)"
"(6030.85221875, 6077.22471875)"
"(6077.46096875, 6084.919718749999)"
"(6085.5272187499995, 6087.450968749999)"
"(6087.58596875, 6088.14284375)"
"(6088.767218750001, 6092.749718749999)"
"(6093.57659375, 6094.2684687500005)"
"(6094.487843750001, 6096.884093750001)"
"(6099.077843749999, 6165.37971875)"
"(6165.80159375, 6208.03971875)"
"(6208.309718750001, 6209.82846875)"
"(6210.452843749999, 6227.81721875)"
"(6228.15471875, 6288.9384687500005)"
"(6289.394093750001, 6320.68034375)"
"(6320.849093750001, 6330.29909375)"
"(6331.817843750001, 6344.052218750001)"
"(6345.132218750001, 6364.70721875)"
"(6364.909718750001, 6365.6522187499995)"
"(6366.25971875, 6371.27159375)"
"(6371.389718750001, 6420.5634687500005)"
"(6420.833468750001, 6426.58784375)"
"(6426.8915937500005, 6433.590968750001)"
"(6433.827218750001, 6464.06721875)"
"(6464.607218749999, 6497.78346875)"
"(6498.15471875, 6499.13346875)"
"(6499.28534375, 6500.331593750001)"
"(6500.567843750001, 6515.4178437499995)"
"(6516.075968749999, 6520.04159375)"
"(6523.484093749999, 6544.814093750001)"
